gid,fips,name,centroid_x,centroid_y
1,20175,Seward,-100.850720393578,37.1932460366464
2,28141,Tishomingo,-88.2391721869903,34.7402347534515
3,36101,Steuben,-77.3821091771336,42.2688581634465
4,50013,Grand Isle,-73.2967977178653,44.7975824008721
5,05065,Izard,-91.9084810698373,36.0960406708544
6,17123,Marshall,-89.3451044426091,41.032790100246
7,19011,Benton,-92.0646357299221,42.0801173885655
8,27161,Waseca,-93.5872050546923,44.0220713972566
9,39109,Miami,-84.2287127067983,40.0543328965332
10,46073,Jerauld,-98.6296597176393,44.0663779833105
11,48173,Glasscock,-101.520777602131,31.8694290861833
12,51079,Greene,-78.4652239605864,38.2955049519673
13,72087,Loíza,-65.8969147671245,18.4274202056539
14,72105,Naranjito,-66.2501695441182,18.2893984240412
15,08089,Otero,-103.717338477428,37.9014485029183
16,48111,Dallam,-102.602072532102,36.2778717558988
17,40073,Kingfisher,-97.9419326839065,35.9453000825437
18,05135,Sharp,-91.4781934171162,36.1625815772763
19,20189,Stevens,-101.311896737658,37.1923007975952
20,26101,Manistee,-86.0562666985006,44.3335344912684
21,39135,Preble,-84.64787017577,39.7420247043773
22,21105,Hickman,-88.9787592838078,36.6794808022178
23,06115,Yuba,-121.353427521263,39.2641326867101
24,26161,Washtenaw,-83.8387933138274,42.2537095170572
25,18139,Rush,-85.4655599008666,39.6200228738691
26,26119,Montmorency,-84.1270018301181,45.0275570815303
27,40109,Oklahoma,-97.4071694770988,35.5514009514584
28,42025,Carbon,-75.7068604140971,40.9154886163048
29,48361,Orange,-93.8906745066834,30.1193157789029
30,51685,Manassas Park,-77.4440109364359,38.7704423024242
31,55035,Eau Claire,-91.2860918338675,44.7266140016386
32,18161,Union,-84.9249619994644,39.6255192167386
33,28117,Prentiss,-88.5199143118025,34.6181027928322
34,39101,Marion,-83.1573907473909,40.5861253439367
35,13233,Polk,-85.1894880192836,34.0044893969622
36,20075,Hamilton,-101.792106599119,37.9997870887303
37,31045,Dawes,-103.131377445861,42.7198503553001
38,38075,Renville,-101.660391199482,48.719825330408
39,51101,King William,-77.090522428382,37.7100026749889
40,13283,Treutlen,-82.5689400970116,32.4042289769855
41,19175,Union,-94.2423484698293,41.0277277965485
42,28029,Copiah,-90.4456511807111,31.8697777414468
43,31115,Loup,-99.4544041549247,41.9137196063349
44,38031,Foster,-98.882799234255,47.4571083956683
45,47003,Bedford,-86.4554909587494,35.5112374582044
46,48145,Falls,-96.9363008610694,31.2535060894524
47,48437,Swisher,-101.734917409789,34.5302889094444
48,55135,Waupaca,-88.9653259934017,44.4707073368542
49,72033,Cataño,-66.1359337390589,18.4414052501861
50,20195,Trego,-99.8728444769311,38.9146721805297
51,28131,Stone,-89.1154753933159,30.7918794930656
52,38047,Logan,-99.4771274790485,46.4573369376322
53,48305,Lynn,-101.81628494507,33.1765770520872
54,21093,Hardin,-85.963188650782,37.6976178787612
55,26027,Cass,-85.9940572690084,41.9152229220786
56,29011,Barton,-94.3475702234266,37.502076712177
57,31157,Scotts Bluff,-103.708098609071,41.8507089609034
58,51109,Louisa,-77.9628392604048,37.9782937218881
59,13201,Miller,-84.7315134040984,31.1656894846249
60,17035,Cumberland,-88.2401157955775,39.2743242356541
61,18137,Ripley,-85.2621274370943,39.1023562616078
62,21009,Barren,-85.9333894507249,36.9646983589271
63,28085,Lincoln,-90.4539191453832,31.5328866230313
